movie_id,title,genres,description
337,Prince of Persia: The Sands of Time,Fantasy Action,"A prince uses a mystical dagger to reverse time."
338,King Arthur: Legend of the Sword,Fantasy Action,"Arthur discovers his destiny through a magical sword."
339,Robin Hood,Adventure Action,"A legendary archer fights for justice against oppression."
340,The Three Musketeers,Adventure Action,"Swashbuckling heroes protect France from betrayal."

341,Mr. & Mrs. Smith,Action Comedy,"A married couple discovers they are both spies assigned to kill each other."
342,Salt,Action Thriller,"A CIA agent goes on the run after being accused of being a spy."
343,Hanna,Action Thriller,"A trained teenage assassin goes on the run across Europe."
344,Peppermint,Action Revenge,"A mother seeks justice after losing her family."
345,The Accountant,Action Thriller,"A brilliant accountant with combat skills becomes a target."
346,Shooter,Action Thriller,"A sniper is framed and must uncover the conspiracy."
347,Law Abiding Citizen,Crime Thriller,"A man seeks revenge on a corrupt justice system."
348,Den of Thieves,Crime Thriller,"Criminals plan a massive bank robbery while cops close in."
349,Jack Reacher,Action Thriller,"A former military investigator uncovers deadly secrets."
350,Jack Ryan: Shadow Recruit,Action Thriller,"A CIA analyst uncovers a plot to destroy the global economy."

351,The Witch,Horror Period,"A Puritan family faces evil forces in the wilderness."
352,The Lighthouse,Horror Psychological,"Two lighthouse keepers descend into madness while isolated."
353,Doctor Sleep,Horror Supernatural,"The story continues decades after The Shining."
354,Silent Hill,Horror Fantasy,"A woman's search for her daughter leads to a cursed ghost town."
355,Event Horizon,Horror Sci-Fi,"A rescue crew discovers horrors aboard a vanished spaceship."
356,Hellraiser,Horror Dark Fantasy,"A puzzle box releases supernatural beings who feed on pain."
357,The Cabin in the Woods,Horror Comedy,"A group of friends unknowingly trigger a horrific experiment."
358,Zombieland,Horror Comedy,"Survivors use humor and rules to stay alive in a zombie apocalypse."
359,World War Z,Action Horror,"A former UN investigator races to stop a worldwide infection."
360,I Am Legend (Alternate Cut),Sci-Fi Horror,"A darker look at survival in a world taken by a virus."

361,The Kite Runner,Drama Biography,"Two childhood friends face betrayal, guilt, and redemption."
362,A Dog's Purpose,Family Drama,"A dog remembers past lives while searching for meaning."
363,Marley & Me,Family Drama,"A family's life changes with the help of a lovable but troublesome dog."
364,Hachi: A Dog's Tale,Drama Family,"A dog waits daily for his owner, even after tragedy."
365,Bridge to Terabithia,Fantasy Drama,"Two kids invent a magical world to escape reality."
366,Wonder,Drama Family,"A young boy with facial differences inspires kindness."
367,The Peanut Butter Falcon,Adventure Drama,"A boy with Down syndrome escapes to pursue wrestling dreams."
368,The Boy in the Striped Pajamas,War Drama,"A forbidden friendship forms between two boys during WWII."
369,The Perks of Being a Wallflower,Drama Romance,"A shy teen discovers love, friends, and pain while growing up."
370,Dead Poets Society,Drama Inspiration,"A teacher inspires students to think differently about life."

371,The Holiday,Romance Comedy,"Two women swap homes and unexpectedly find love."
372,Notting Hill,Romantic Comedy,"A simple bookstore owner falls for a famous actress."
373,Pretty Woman,Romantic Comedy,"An unexpected romance grows between a businessman and a woman he hires."
374,Sleepless in Seattle,Romantic Drama,"Two strangers connect across the country after a radio broadcast."
375,When Harry Met Sally,Romantic Comedy,"A decades-long friendship grows into love."
376,Mamma Mia!,Musical Comedy,"A young woman invites three men hoping to find her father."
377,13 Going on 30,Romantic Comedy,"A teenager magically wakes up in her future adult life."
378,Confessions of a Shopaholic,Romantic Comedy,"A woman drowning in debt unexpectedly lands a dream job."
379,Letters to Juliet,Romance Drama,"A woman helps write love letters and finds love herself."
380,The Proposal,Romantic Comedy,"A strict boss forces an employee to marry her to avoid deportation."

381,The Book Thief,War Drama,"A girl finds comfort in books while living through war."
382,Hotel Rwanda,Biographical War,"A hotel manager shelters refugees during genocide."
383,Defiance,War Biography,"Jewish brothers rescue refugees and form resistance during WWII."
384,The Pianist (Alternate International Version),War Biography,"A revised format includes extra narrative elements."
385,Dunkirk,War Thriller,"Soldiers attempt to evacuate trapped troops during WWII."
386,The Last Duel,Historical Drama,"A conflict between knights leads to France's last trial by combat."
387,Alexander,Historical Epic,"A powerful story of the life and conquests of Alexander the Great."
388,Master and Commander,Historical Adventure,"A British captain pursues a rival warship across the seas."
389,The Man in the Iron Mask,Historical Drama,"A plot unfolds to replace the king with his secret twin brother."
390,The Vikings,Historical Adventure,"Viking warriors seek glory through conquest and rivalry."

391,The Road,Post-Apocalyptic Drama,"A father and son journey across a ruined world."
392,The Book of Eli,Post-Apocalyptic Action,"A lone traveler protects a sacred book with power."
393,Children of Men,Post-Apocalyptic Sci-Fi,"Humanity faces extinction until one woman offers hope."
394,Snowpiercer (Series Continuity Version),Sci-Fi Drama,"A train holds the last survivors on a frozen Earth."
395,Mad Max (Original),Action Post-Apocalypse,"A lawman seeks revenge in a collapsing society."
396,Mad Max 2: The Road Warrior,Action Post-Apocalypse,"A lone warrior helps a community escape attackers."
397,Mad Max Beyond Thunderdome,Action Post-Apocalypse,"Max enters a deadly arena in a desert society."
398,Escape from New York,Sci-Fi Action,"A criminal must rescue the president from a hostile city prison."
399,The Purge,Action Thriller,"Crime is legal for one night each year, leading to chaos."
400,The Purge: Anarchy,Action Thriller,"Survivors must navigate the deadly night on the streets."

401,A Scanner Darkly,Sci-Fi Psychological,"A drug-addicted agent loses his identity on a secret mission."
402,Upgrade,Action Sci-Fi,"A paralyzed man receives an AI implant to seek revenge."
403,Source Code,Sci-Fi Thriller,"A soldier relives a train explosion to uncover the bomber."
404,Limitless,Thriller Sci-Fi,"A pill unlocks extraordinary intelligence with dangerous consequences."
405,Hollow Man,Sci-Fi Horror,"A scientist becomes invisible but loses his sanity."
406,The Prestige (Alternate Cut),Drama Thriller,"A version with expanded scenes and pacing changes."
407,The Illusionist,Romantic Mystery,"A magician challenges power while pursuing forbidden love."
408,Now You See Me 2,Action Mystery,"Magicians face new threats while pulling impossible heists."
409,Looper (Extended Director’s Cut),Sci-Fi Thriller,"A darker narrative explores crime and causality."
410,Equilibrium,Sci-Fi Dystopia,"An enforcer of emotion suppression laws rebels against the system."

411,A Scanner Darkly (Animated Edition),Sci-Fi Psychological,"Same story with iconic rotoscope animation style."
412,Coherence,Sci-Fi Psychological,"A dinner party becomes strange due to cosmic events."
413,Primer,Sci-Fi Indie,"Two engineers accidentally discover time travel."
414,Triangle,Psychological Thriller,"A yacht trip turns into a looping supernatural nightmare."
415,Predestination,Sci-Fi Paradox,"A time agent faces shocking secrets about identity."
416,Annihilation,Sci-Fi Horror,"Researchers investigate a strange evolving zone of life."
417,The Fountain,Fantasy Philosophical,"Love, time, and death intertwine across centuries."
418,Eraserhead,Horror Surreal,"A nightmare-filled journey through surreal fatherhood."
419,Pi,Thriller Mystery,"A mathematician searches for meaning in numbers and chaos."
420,The Lobster,Dark Comedy Sci-Fi,"Single people must find a partner or become animals."

421,The Peanut Butter Falcon (Extended),Drama Adventure,"A longer cut deepens emotional scenes."
422,The King's Man,Action War,"A prequel exploring origins of the secret spy organization."
423,The Nice Guys,Comedy Crime,"Two mismatched investigators uncover a conspiracy."
424,21 Jump Street,Comedy Crime,"Two undercover cops infiltrate high school."
425,22 Jump Street,Comedy Crime,"The duo repeats their success—this time in college."
426,The Dictator,Comedy Satire,"A tyrant fights for his dictatorship in America."
427,Mr. Bean's Holiday,Comedy Family,"Mr. Bean travels across Europe causing hilarious chaos."
428,Johnny English,Comedy Spy,"A clueless spy takes on dangerous missions."
429,Johnny English Reborn,Comedy Spy,"The skills may be questionable, but the mission stands."
430,Johnny English Strikes Again,Comedy Spy,"The spy returns once more in a digital age."

431,Zoolander,Comedy Satire,"A model becomes an unwitting assassin."
432,Horrible Bosses,Comedy Dark,"Three friends plan to eliminate their awful bosses."
433,Paul,Comedy Sci-Fi,"Two friends help an alien escape government capture."
434,Hot Fuzz,Action Comedy,"A top cop uncovers the dark secret of a quiet village."
435,Shaun of the Dead,Comedy Zombie,"A lazy man must face responsibility—during a zombie apocalypse."
436,Scott Pilgrim vs. the World,Action Comedy,"A young man must defeat seven evil exes to win his girlfriend."
437,The Lego Movie,Animation Comedy,"An ordinary Lego piece becomes part of a heroic prophecy."
438,Paddington,Family Comedy,"A friendly bear finds adventure in London."
439,Paddington 2,Family Comedy,"The beloved bear faces trouble involving a stolen book."
440,Christopher Robin,Family Adventure,"Winnie the Pooh reunites with an adult Christopher Robin."

441,Hidden Strike,Action Adventure,"Two elite soldiers escort civilians along a dangerous road."
442,Plane,Action Thriller,"A pilot and passengers must survive after an emergency landing."
443,Hustle (2022),Sports Drama,"A basketball scout finds talent in an unexpected place."
444,Air,Drama Biography,"The story behind Nike signing Michael Jordan."
445,Creed III,Sports Drama,"A rivalry returns from the past for one final match."
446,Extraction,Action Thriller,"A mercenary attempts a dangerous rescue mission."
447,Extraction 2,Action Thriller,"The mercenary returns, facing an even tougher mission."
448,The Gray Man,Action Spy,"A deadly chase unfolds between assassins and government agents."
449,Reacher (Film Adaptation Cut),Action Crime,"Based on Lee Child’s novels, this cut expands story pacing."
450,Bullet Train,Action Comedy,"Assassins aboard a fast-moving train compete for a suitcase."
451,The Incredible Hulk,Action Superhero,"Bruce Banner becomes the Hulk while evading government capture."
452,Thor,Action Superhero,"Thor is banished to Earth and must prove himself worthy."
453,Iron Man 2,Action Superhero,"Tony Stark faces new threats while struggling with his identity."
454,Iron Man 3,Action Superhero,"Tony confronts trauma and a mysterious enemy known as the Mandarin."
455,Guardians of the Galaxy Vol. 2,Action Comedy,"The Guardians uncover Peter Quill’s origin and face betrayal."
456,Ant-Man,Action Comedy,"A thief becomes a shrinking superhero to stop dangerous tech."
457,Ant-Man and the Wasp,Action Comedy,"Scott Lang partners with Hope to rescue someone from the quantum realm."
458,Captain Marvel,Action Sci-Fi,"A Kree warrior discovers her past on Earth and her true identity."
459,Avengers: Age of Ultron,Action Superhero,"The Avengers battle a dangerous AI created by Tony Stark."
460,Avengers: Infinity War,Action Superhero,"The Avengers face Thanos as he seeks the Infinity Stones."
461,Avengers: Endgame,Action Superhero,"Survivors attempt to reverse the devastating snap caused by Thanos."
462,Black Widow,Action Spy,"Natasha Romanoff confronts her past after Civil War."
463,Shang-Chi and the Legend of the Ten Rings,Action Fantasy,"A martial artist confronts his father and a hidden mystical world."
464,Eternals,Fantasy Action,"Immortal beings reveal themselves to protect Earth from ancient threats."
465,Doctor Strange in the Multiverse of Madness,Action Fantasy,"Strange explores the multiverse to stop a powerful dark force."
466,Thor: Love and Thunder,Action Comedy,"Thor teams up with Jane Foster and the Guardians to stop a cosmic killer."
467,Ant-Man and the Wasp: Quantumania,Action Sci-Fi,"Scott Lang faces Kang inside the quantum realm."
468,Guardians of the Galaxy Vol. 3,Action Comedy,"The team faces their final mission while protecting one of their own."
469,Black Panther: Wakanda Forever,Action Superhero,"Wakanda faces new threats after the loss of their king."
470,Justice League,Action Superhero,"Batman and Wonder Woman assemble a team of heroes to face an alien threat."
471,Zack Snyder's Justice League,Action Superhero,"An extended version of the League's battle against Steppenwolf and Darkseid's forces."
472,Suicide Squad,Action Superhero,"A team of imprisoned villains is forced into a dangerous government mission."
473,The Suicide Squad,Action Superhero,"A new squad of misfit villains is sent to destroy a secret project on a deadly island."
474,Wonder Woman 1984,Action Fantasy,"Diana faces a new enemy and a world corrupted by dangerous wishes."
475,Aquaman and the Lost Kingdom,Action Fantasy,"Aquaman must protect Atlantis from an ancient evil threatening the surface and the seas."
476,Shazam!,Action Comedy,"A teenage boy gains magical powers and transforms into an adult superhero."
477,Shazam! Fury of the Gods,Action Comedy,"Shazam and his powered-up family fight the angry daughters of Atlas."
478,Black Adam,Action Superhero,"An ancient champion awakens and reshapes the balance of power in the DC world."
479,Birds of Prey,Action Crime,"Harley Quinn teams up with unlikely allies to protect a young girl from a crime lord."
480,Batman Begins,Action Superhero,"Bruce Wayne trains around the world to become Gotham's masked protector."
481,The Dark Knight Rises,Action Superhero,"Batman returns from exile to stop the brutal terrorist Bane."
482,The Batman,Action Crime,"Batman hunts a sadistic killer whose crimes expose Gotham's corruption."

483,Harry Potter and the Chamber of Secrets,Fantasy Adventure,"Harry returns to Hogwarts to face a monster hidden within the school."
484,Harry Potter and the Prisoner of Azkaban,Fantasy Adventure,"A dangerous escaped prisoner seems mysteriously connected to Harry."
485,Harry Potter and the Goblet of Fire,Fantasy Adventure,"Harry is forced into a deadly magical tournament between schools."
486,Harry Potter and the Order of the Phoenix,Fantasy Adventure,"Harry secretly trains students to resist a dark regime at Hogwarts."
487,Harry Potter and the Half-Blood Prince,Fantasy Adventure,"Harry uncovers Voldemort's past and the secrets of a mysterious textbook."
488,Harry Potter and the Deathly Hallows: Part 1,Fantasy Adventure,"Harry, Ron, and Hermione hunt Horcruxes while on the run from dark forces."
489,Fantastic Beasts: The Crimes of Grindelwald,Fantasy Adventure,"Grindelwald rises to power as Dumbledore's allies try to stop him."
490,Fantastic Beasts: The Secrets of Dumbledore,Fantasy Adventure,"Dumbledore and his friends confront Grindelwald in a global conflict."

491,Star Wars: Return of the Jedi,Sci-Fi Adventure,"The rebels launch a final attack as Luke confronts Darth Vader and the Emperor."
492,Star Wars: The Phantom Menace,Sci-Fi Adventure,"Jedi knights discover a boy strong with the Force amid rising galactic tension."
493,Star Wars: Attack of the Clones,Sci-Fi Adventure,"Anakin and Padmé grow closer as political plots push the galaxy toward war."
494,Star Wars: Revenge of the Sith,Sci-Fi Adventure,"Anakin's fall to the dark side reshapes the galaxy and births Darth Vader."
495,Star Wars: The Force Awakens,Sci-Fi Adventure,"A new hero rises as the First Order threatens the fragile peace."
496,Star Wars: The Last Jedi,Sci-Fi Adventure,"The Resistance struggles to survive as Rey seeks guidance from Luke Skywalker."
497,Star Wars: The Rise of Skywalker,Sci-Fi Adventure,"The final battle between the Resistance and the Sith legacy decides the galaxy's fate."
498,Rogue One: A Star Wars Story,Sci-Fi War,"A team of rebels risks everything to steal the Death Star plans."
499,Solo: A Star Wars Story,Sci-Fi Adventure,"The origin story of Han Solo shows how he meets Chewbacca and wins the Millennium Falcon."

500,The Lord of the Rings: The Two Towers,Fantasy Adventure,"The fellowship is scattered as war spreads across Middle-earth."
501,The Hobbit: The Desolation of Smaug,Fantasy Adventure,"Bilbo and the dwarves draw the dragon Smaug out of his lair."
502,The Hobbit: The Battle of the Five Armies,Fantasy Adventure,"Armies clash for the mountain kingdom and its treasure."

503,The Matrix Revolutions,Sci-Fi Action,"Neo fights to end the war between humans and machines once and for all."
504,The Matrix Resurrections,Sci-Fi Action,"Neo returns to a changed reality and must decide whether to re-enter the Matrix."

505,The Lost World: Jurassic Park,Sci-Fi Adventure,"A second island full of dinosaurs leads to a new disastrous expedition."
506,Jurassic Park III,Sci-Fi Adventure,"A rescue mission on the dinosaur island turns into a struggle to survive."
507,Jurassic World: Fallen Kingdom,Sci-Fi Adventure,"A volcanic eruption threatens dinosaurs as a dark conspiracy unfolds."
508,Jurassic World Dominion,Sci-Fi Adventure,"Humans and dinosaurs struggle to coexist as creatures roam the entire globe."

509,Transformers: Revenge of the Fallen,Action Sci-Fi,"Autobots and humans face a hidden foe from Cybertron's ancient past."
510,Transformers: Dark of the Moon,Action Sci-Fi,"Secrets about the moon landing threaten Earth with massive destruction."
511,Transformers: Age of Extinction,Action Sci-Fi,"New enemies arrive as humans begin hunting Transformers."
512,Transformers: The Last Knight,Action Sci-Fi,"Earth's history hides the key to saving both humans and Transformers."
513,Bumblebee,Action Adventure,"A young woman befriends an injured Autobot hiding on Earth in the 1980s."
514,Transformers: Rise of the Beasts,Action Adventure,"New animal-style Transformers join the war for Earth and its future."

515,The Fast and the Furious,Action Crime,"An undercover cop infiltrates a street racing crew suspected of hijackings."
516,2 Fast 2 Furious,Action Crime,"Brian teams up with a childhood friend for a risky mission in Miami."
517,The Fast and the Furious: Tokyo Drift,Action Crime,"A troubled teen discovers drift racing in Tokyo's underground scene."
518,Fast & Furious,Action Crime,"The crew reunites to bring down a dangerous heroin trafficker."
519,Fast Five,Action Heist,"The team plans a massive vault heist in Rio de Janeiro."
520,Fast & Furious 6,Action Heist,"The crew is recruited to stop a skilled criminal team in exchange for pardons."
521,The Fate of the Furious,Action Heist,"Dom is forced to betray his family by a mysterious cyber-terrorist."
522,Fast & Furious 9,Action Action,"Old enemies and long-lost family members resurface amid a global threat."
523,Fast X,Action Action,"The crew faces a vengeful foe tied to a past heist in Rio."
524,Fast & Furious Presents: Hobbs & Shaw,Action Comedy,"Two rivals must work together to stop a cyber-enhanced villain."

525,Mission: Impossible,Action Spy,"Agent Ethan Hunt is framed for betrayal and must uncover a mole."
526,Mission: Impossible II,Action Spy,"Hunt races to stop a villain from releasing a deadly engineered virus."
527,Mission: Impossible III,Action Spy,"A ruthless arms dealer targets Ethan and the people he loves."
528,Mission: Impossible – Ghost Protocol,Action Spy,"The IMF is disavowed after being blamed for an attack on the Kremlin."
529,Mission: Impossible – Rogue Nation,Action Spy,"Hunt battles a secret anti-IMF organization known as the Syndicate."
530,Mission: Impossible – Dead Reckoning Part One,Action Spy,"The team faces a powerful rogue AI that could control the world."

531,Rocky II,Sports Drama,"Rocky gets a second chance to fight Apollo Creed for the championship."
532,Rocky III,Sports Drama,"Rocky faces a fierce new challenger named Clubber Lang."
533,Rocky IV,Sports Drama,"Rocky fights a powerful Soviet boxer in a Cold War showdown."
534,Rocky V,Sports Drama,"Rocky trains a young fighter while dealing with health and financial troubles."
535,Rocky Balboa,Sports Drama,"An older Rocky returns to the ring for one last proving fight."
536,Creed II,Sports Drama,"Adonis Creed faces the son of the man who killed his father."

537,The Equalizer 2,Action Thriller,"Robert McCall seeks justice after a close friend's murder."
538,The Equalizer 3,Action Thriller,"McCall protects a small town in Italy from violent criminals."

539,The Conjuring 2,Horror Mystery,"Paranormal investigators help a haunted family in London."
540,The Conjuring: The Devil Made Me Do It,Horror Mystery,"A possession case leads to a shocking legal defense in court."
541,Annabelle: Creation,Horror Mystery,"The origin of the haunted doll brings terror to a remote orphanage."
542,Annabelle Comes Home,Horror Mystery,"The doll unleashes evil when brought to the Warrens' artifact room."
543,The Curse of La Llorona,Horror Mystery,"A social worker and her children are stalked by a weeping spirit."

544,A Quiet Place Part II,Horror Thriller,"The surviving family searches for new shelter and allies while staying silent."
545,A Quiet Place: Day One,Horror Thriller,"The first day of the invasion shows how the world fell to sound-hunting creatures."

546,It Chapter Two,Horror Thriller,"The grown-up Losers' Club returns to Derry to face Pennywise again."

547,Unbreakable,Thriller Superhero,"A man survives a train crash and slowly learns he may be superhuman."
548,Glass,Thriller Superhero,"Three extraordinary men meet in a psychiatric facility and confront their destinies."

549,Blade Runner,Sci-Fi Noir,"A weary detective hunts rogue replicants in a rainy, dystopian future."

550,Pacific Rim: Uprising,Sci-Fi Action,"A new generation of Jaeger pilots fights evolving kaiju threats."

551,Top Gun,Action Drama,"A talented but reckless pilot trains at an elite Navy fighter school."

552,Jumanji,Fantasy Adventure,"A magical board game unleashes jungle dangers into the real world."
553,Jumanji: The Next Level,Fantasy Adventure,"The players return to a glitching game with new bodies and challenges."

554,Ice Age: The Meltdown,Animation Adventure,"The herd flees their valley as the ice begins to melt."
555,Ice Age: Continental Drift,Animation Adventure,"Continents shift, separating the herd and sending them on a sea adventure."
556,Ice Age: Collision Course,Animation Adventure,"Scrat's space antics cause an asteroid that threatens all life on Earth."

557,Madagascar 3: Europe's Most Wanted,Animation Comedy,"The animals join a traveling circus to get back home."
558,Penguins of Madagascar,Animation Comedy,"The penguins embark on a spy mission to stop a villainous octopus."

559,Despicable Me 2,Animation Comedy,"Gru balances family life while being recruited to stop a new villain."
560,Despicable Me 3,Animation Comedy,"Gru meets his long-lost twin and confronts a retro-obsessed foe."
561,Minions,Animation Comedy,"The minions search through history for the worst villain to serve."
562,Minions: The Rise of Gru,Animation Comedy,"Young Gru teams up with the minions to become a supervillain."
563,Despicable Me 4,Animation Comedy,"Gru faces fresh chaos with his family and his loyal minions."

564,Kung Fu Panda 2,Animation Action,"Po discovers his past while facing a powerful peacock warlord."
565,Kung Fu Panda 3,Animation Adventure,"Po meets his panda family and trains them to fight a new enemy."
566,Kung Fu Panda 4,Animation Adventure,"Po searches for a successor while confronting a dangerous new foe."

567,Toy Story 3,Animation Adventure,"The toys fear their future when Andy prepares to leave for college."
568,Toy Story 4,Animation Adventure,"Woody meets a new toy named Forky and questions his own purpose."

569,The Lego Movie 2: The Second Part,Animation Comedy,"The heroes face an invasion from the Systar System that threatens their world."
570,The Lego Batman Movie,Animation Comedy,"Batman confronts his fears, his allies, and a huge rogue's gallery in Lego form."
571,The Lego Ninjago Movie,Animation Adventure,"A young ninja must face his villainous father to save his city."

572,Sonic the Hedgehog 3,Action Adventure,"Sonic and his friends face powerful new enemies threatening their world."

573,Home Alone 3,Family Comedy,"A young boy defends his home from high-tech spies seeking a stolen chip."
574,Home Alone 4: Taking Back the House,Family Comedy,"Kevin tries to stop thieves targeting his father's new smart home."
575,Home Alone: The Holiday Heist,Family Comedy,"Siblings defend their house from art thieves during the holidays."
576,Home Sweet Home Alone,Family Comedy,"A boy faces off against a desperate couple in a chaotic misunderstanding."

577,The Hunger Games: Catching Fire,Sci-Fi Adventure,"Katniss becomes a symbol of rebellion after surviving the Hunger Games."
578,The Hunger Games: Mockingjay – Part 1,Sci-Fi War,"Katniss becomes the face of a growing revolution against the Capitol."
579,The Hunger Games: Mockingjay – Part 2,Sci-Fi War,"The final assault on the Capitol decides the fate of Panem."
580,The Hunger Games: The Ballad of Songbirds & Snakes,Sci-Fi Drama,"A young Coriolanus Snow mentors a tribute in an early Hunger Games."

581,The Maze Runner: The Scorch Trials,Sci-Fi Adventure,"The Gladers face a ruined world and new experiments outside the maze."
582,Maze Runner: The Death Cure,Sci-Fi Action,"Thomas leads a dangerous mission to rescue his friends from WCKD."

583,Insurgent,Sci-Fi Adventure,"Tris and Four flee their city while uncovering deeper conspiracies."
584,Allegiant,Sci-Fi Adventure,"Outside the wall, a new power reveals shocking truths about their society."

585,Avatar: The Way of Water,Sci-Fi Adventure,"Jake Sully and his family seek refuge with ocean clans on Pandora."

586,Spider-Man: Homecoming,Action Superhero,"Peter balances high school life and his role as Spider-Man under Tony Stark."
587,Spider-Man: Far From Home,Action Superhero,"A school trip to Europe turns into a mission against a mysterious new threat."
588,Spider-Man: Into the Spider-Verse,Animation Superhero,"Miles Morales becomes Spider-Man and meets heroes from other universes."
589,Spider-Man: Across the Spider-Verse,Animation Superhero,"Miles faces the Spider Society and a dangerous multiverse threat."

590,Deadpool 2,Action Comedy,"Deadpool forms a team to protect a powerful young mutant from a time-traveling soldier."
591,Deadpool & Wolverine,Action Comedy,"Deadpool teams up with Wolverine for a chaotic multiverse mission."

592,Thor: The Dark World,Action Fantasy,"Thor battles a dark elf seeking to plunge the universe into darkness."
593,Captain America: The First Avenger,Action Superhero,"Steve Rogers becomes a super-soldier fighting Hydra in World War II."
594,Captain America: The Winter Soldier,Action Thriller,"Captain America uncovers a conspiracy within S.H.I.E.L.D. and faces a deadly assassin."

595,Kingsman: The Secret Service,Action Spy,"A street kid is recruited into a secret and stylish spy organization."
596,Kingsman: The Golden Circle,Action Spy,"The Kingsman join forces with their American counterparts against a new drug cartel."

597,Jack Reacher: Never Go Back,Action Thriller,"Reacher helps a wrongfully accused major while uncovering a military conspiracy."
598,Horrible Bosses 2,Comedy Crime,"The trio starts a business and clashes with a ruthless investor."
599,Zoolander 2,Comedy Satire,"The dim-witted models return to stop a bizarre conspiracy in the fashion world."
600,Space Jam: A New Legacy,Family Comedy,"LeBron James teams up with the Looney Tunes inside a digital world."
601,Zombieland: Double Tap,Comedy Horror,"The survivors face evolved zombies and new companions in a ruined America."
602,Furiosa: A Mad Max Saga,Action Adventure,"Young Furiosa is taken from her home and fights to survive in a brutal wasteland."
603,Alien,Sci-Fi Horror,"A deadly extraterrestrial stalks the crew of a deep-space mining vessel."
604,Aliens,Sci-Fi Action,"Survivors return to the alien planet with marines to fight a nest."
605,Alien 3,Sci-Fi Horror,"Ripley crash-lands on a prison planet where a new alien emerges."
606,Alien Resurrection,Sci-Fi Sci-Fi,"Ripley returns as a clone in a future where aliens are bred for experiments."
607,Prometheus,Sci-Fi Mystery,"Explorers search humanity's origin, discovering ancient cosmic dangers."
608,Alien: Covenant,Sci-Fi Horror,"A colonization crew encounters a familiar and deadly species."
609,Predator,Action Sci-Fi,"An elite military team is hunted by an unseen alien warrior."
610,Predator 2,Action Sci-Fi,"A new predator hunts in a chaotic crime-filled future Los Angeles."
611,Predators,Action Sci-Fi,"Humans are abducted to an alien game reserve where predators hunt them."
612,The Predator,Action Sci-Fi,"A new evolution of predator species threatens Earth."
613,Prey,Action Sci-Fi,"A young Comanche warrior becomes the first human to face a predator."
614,Alien vs Predator,Action Sci-Fi,"Humans are caught in a deadly war between two alien species."
615,Aliens vs Predator: Requiem,Action Horror,"The conflict between predators and xenomorphs reaches a small town."
616,Terminator 3: Rise of the Machines,Sci-Fi Action,"John Connor faces a new advanced terminator trying to ensure Skynet's rise."
617,Terminator Salvation,Sci-Fi War,"The war with machines unfolds as humanity fights for survival."
618,Terminator Genisys,Sci-Fi Action,"A timeline shift creates new enemies and new alliances."
619,Terminator Dark Fate,Sci-Fi Action,"A new protector fights alongside Sarah Connor against upgraded machines."
620,X-Men,Action Superhero,"Mutants with extraordinary abilities face prejudice and war."
621,X2: X-Men United,Action Superhero,"Humans and mutants team up against a shared threat."
622,X-Men: The Last Stand,Action Superhero,"A cure for mutation sparks a major war."
623,X-Men Origins: Wolverine,Action Superhero,"Wolverine's violent past and rivalry are revealed."
624,The Wolverine,Action Superhero,"Wolverine travels to Japan and faces emotional and deadly conflicts."
625,X-Men: First Class,Action Superhero,"The origins of Xavier and Magneto unfold during the Cold War."
626,X-Men: Days of Future Past,Action Sci-Fi,"Past and present mutants fight to stop their extinction."
627,X-Men: Apocalypse,Action Superhero,"An ancient mutant awakens to reshape the world."
628,Dark Phoenix,Action Superhero,"Jean Grey struggles with overwhelming power that threatens everything."
629,The Purge: Election Year,Action Thriller,"A politician threatens the Purge system, triggering deadly retaliation."
630,The First Purge,Action Thriller,"The origins of the deadly national ritual are revealed in Staten Island."
631,The Forever Purge,Action Thriller,"A group refuses to stop purging when the event legally ends."
632,Cloverfield,Sci-Fi Found Footage,"A mysterious giant creature attacks New York."
633,10 Cloverfield Lane,Thriller Sci-Fi,"A woman wakes in a bunker with a man claiming the outside is dangerous."
634,The Cloverfield Paradox,Sci-Fi Mystery,"Scientists aboard a space station experience strange dimensional effects."
635,Ghostbusters,Comedy Fantasy,"Scientists become ghost hunters when supernatural threats rise."
636,Ghostbusters II,Comedy Fantasy,"The team returns to stop a new psychic and paranormal threat."
637,Ghostbusters (2016),Comedy Fantasy,"A new team forms to fight ghosts in New York City."
638,Ghostbusters: Afterlife,Comedy Fantasy,"A family discovers their connection to the original Ghostbusters."
639,Ghostbusters: Frozen Empire,Fantasy Adventure,"A new threat triggers supernatural chaos across the city."
640,Pitch Black,Sci-Fi Horror,"Survivors on a desert planet face deadly night creatures."
641,The Chronicles of Riddick,Sci-Fi Action,"Riddick becomes part of a galactic conflict with supernatural forces."
642,Riddick,Sci-Fi Action,"Abandoned on a hostile world, Riddick must survive predators and bounty hunters."
643,Raiders of the Lost Ark,Adventure Action,"Indiana Jones hunts for the Ark before the Nazis can harness its power."
644,Indiana Jones and the Temple of Doom,Adventure Action,"Indy faces a dangerous cult and a powerful magical artifact."
645,Indiana Jones and the Last Crusade,Adventure Action,"Indy searches for the Holy Grail while racing Nazi forces."
646,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,"A mysterious artifact draws Indy into a new supernatural adventure."
647,Indiana Jones and the Dial of Destiny,Adventure Action,"An older Indy faces a final dangerous mission involving time-altering power."
651,Scream,Crime Horror,"A masked killer stalks teenagers in a small town."
